FUNCTION NAME,DESCRIPTION
"str.split(sep=None, maxsplit=-1)","Return a list of the words in the string, using sep as the delimiter
string.  If maxsplit is given, at most maxsplit splits are done (thus,
the list will have at most maxsplit+1 elements).  If maxsplit is not
specified or -1, then there is no limit on the number of splits
(all possible splits are made).
If sep is given, consecutive delimiters are not grouped together and are
deemed to delimit empty strings (for example, '1,,2'.split(',') returns
['1', '', '2']).  The sep argument may consist of multiple characters
(for example, '1<>2<>3'.split('<>') returns ['1', '2', '3']).
Splitting an empty string with a specified separator returns [''].
For example:
>>> '1,2,3'.split(',')
['1', '2', '3']
>>> '1,2,3'.split(',', maxsplit=1)
['1', '2,3']
>>> '1,2,,3,'.split(',')
['1', '2', '', '3', '']


If sep is not specified or is None, a different splitting algorithm is
applied: runs of consecutive whitespace are regarded as a single separator,
and the result will contain no empty strings at the start or end if the
string has leading or trailing whitespace.  Consequently, splitting an empty
string or a string consisting of just whitespace with a None separator
returns [].
For example:
>>> '1 2 3'.split()
['1', '2', '3']
>>> '1 2 3'.split(maxsplit=1)
['1', '2 3']
>>> '   1   2   3   '.split()
['1', '2', '3']"
str.splitlines([keepends]),"Return a list of the lines in the string, breaking at line boundaries.  Line
breaks are not included in the resulting list unless keepends is given and
true.
This method splits on the following line boundaries.  In particular, the
boundaries are a superset of universal newlines.






Representation
Description



\n
Line Feed

\r
Carriage Return

\r\n
Carriage Return + Line Feed

\v or \x0b
Line Tabulation

\f or \x0c
Form Feed

\x1c
File Separator

\x1d
Group Separator

\x1e
Record Separator

\x85
Next Line (C1 Control Code)

\u2028
Line Separator

\u2029
Paragraph Separator




Changed in version 3.2: \v and \f added to list of line boundaries.

For example:
>>> 'ab c\n\nde fg\rkl\r\n'.splitlines()
['ab c', '', 'de fg', 'kl']
>>> 'ab c\n\nde fg\rkl\r\n'.splitlines(keepends=True)
['ab c\n', '\n', 'de fg\r', 'kl\r\n']


Unlike split() when a delimiter string sep is given, this
method returns an empty list for the empty string, and a terminal line
break does not result in an extra line:
>>> """".splitlines()
[]
>>> ""One line\n"".splitlines()
['One line']


For comparison, split('\n') gives:
>>> ''.split('\n')
['']
>>> 'Two lines\n'.split('\n')
['Two lines', '']"
"str.startswith(prefix[, start[, end]])","Return True if string starts with the prefix, otherwise return False.
prefix can also be a tuple of prefixes to look for.  With optional start,
test string beginning at that position.  With optional end, stop comparing
string at that position."
str.strip([chars]),"Return a copy of the string with the leading and trailing characters removed.
The chars argument is a string specifying the set of characters to be removed.
If omitted or None, the chars argument defaults to removing whitespace.
The chars argument is not a prefix or suffix; rather, all combinations of its
values are stripped:
>>> '   spacious   '.strip()
'spacious'
>>> 'www.example.com'.strip('cmowz.')
'example'


The outermost leading and trailing chars argument values are stripped
from the string. Characters are removed from the leading end until
reaching a string character that is not contained in the set of
characters in chars. A similar action takes place on the trailing end.
For example:
>>> comment_string = '#....... Section 3.2.1 Issue #32 .......'
>>> comment_string.strip('.#! ')
'Section 3.2.1 Issue #32'"
str.swapcase(),"Return a copy of the string with uppercase characters converted to lowercase and
vice versa. Note that it is not necessarily true that
s.swapcase().swapcase() == s."
str.title(),"Return a titlecased version of the string where words start with an uppercase
character and the remaining characters are lowercase.
For example:
>>> 'Hello world'.title()
'Hello World'


The algorithm uses a simple language-independent definition of a word as
groups of consecutive letters.  The definition works in many contexts but
it means that apostrophes in contractions and possessives form word
boundaries, which may not be the desired result:
>>> ""they're bill's friends from the UK"".title()
""They'Re Bill'S Friends From The Uk""


A workaround for apostrophes can be constructed using regular expressions:
>>> import re
>>> def titlecase(s):
...     return re.sub(r""[A-Za-z]+('[A-Za-z]+)?"",
...                   lambda mo: mo.group(0).capitalize(),
...                   s)
...
>>> titlecase(""they're bill's friends."")
""They're Bill's Friends."""
str.translate(table),"Return a copy of the string in which each character has been mapped through
the given translation table.  The table must be an object that implements
indexing via __getitem__(), typically a mapping or
sequence.  When indexed by a Unicode ordinal (an integer), the
table object can do any of the following: return a Unicode ordinal or a
string, to map the character to one or more other characters; return
None, to delete the character from the return string; or raise a
LookupError exception, to map the character to itself.
You can use str.maketrans() to create a translation map from
character-to-character mappings in different formats.
See also the codecs module for a more flexible approach to custom
character mappings."
str.upper(),"Return a copy of the string with all the cased characters 4 converted to
uppercase.  Note that s.upper().isupper() might be False if s
contains uncased characters or if the Unicode category of the resulting
character(s) is not “Lu” (Letter, uppercase), but e.g. “Lt” (Letter,
titlecase).
The uppercasing algorithm used is described in section 3.13 of the Unicode
Standard."
str.zfill(width),"Return a copy of the string left filled with ASCII '0' digits to
make a string of length width. A leading sign prefix ('+'/'-')
is handled by inserting the padding after the sign character rather
than before. The original string is returned if width is less than
or equal to len(s).
For example:
>>> ""42"".zfill(5)
'00042'
>>> ""-42"".zfill(5)
'-0042'"
classmethod fromhex(string),"This bytes class method returns a bytes object, decoding the
given string object.  The string must contain two hexadecimal digits per
byte, with ASCII whitespace being ignored.
>>> bytes.fromhex('2Ef0 F1f2  ')
b'.\xf0\xf1\xf2'



Changed in version 3.7: bytes.fromhex() now skips all ASCII whitespace in the string,
not just spaces."
